nome,preço,quantidade
Sofá de Couro 3 Lugares,2599.99,20
Mesa de Jantar 6 Lugares,1599.99,15
Cadeira de Escritório Ergonômica,799.99,50
Estante de Livros 5 Prateleiras,499.99,30
Guarda-Roupa Casal 6 Portas,1899.99,12
Cama Box Casal com Colchão,2199.99,25
Rack para TV até 55",599.99,40
Poltrona Reclinável,899.99,10
Mesa de Centro de Madeira,399.99,35
Conjunto de Cadeiras para Sala de Jantar,699.99,40
Armário de Cozinha 5 Portas,1299.99,20
Cômoda com 5 Gavetas,699.99,45
Criado-Mudo com 2 Gavetas,299.99,60
Painel para TV até 70",999.99,18
Mesa de Escritório com Gavetas,799.99,22
Conjunto de Sofá 2 e 3 Lugares,2999.99,8
Cadeira Gamer Reclinável,999.99,35
Aparador de Madeira para Sala,599.99,25
Sapateira com 3 Portas,499.99,45
Colchão Ortobom Casal,1399.99,50
Cadeira Dobrável de Madeira,199.99,75
Banco Alto de Cozinha,249.99,55
Estante para Escritório com Nichos,799.99,20
Mesa Lateral de Canto,249.99,60
Balcão Buffet para Sala de Jantar,999.99,15
Cama Infantil com Gavetas,1199.99,18
Cadeira Estofada para Sala de Jantar,399.99,70
Puff Decorativo Redondo,199.99,100
Espelho de Parede com Moldura,349.99,45
Mesa de Jantar Redonda 4 Lugares,1399.99,25
