nome,preço,quantidade
Arroz Branco 5kg,19.99,200
Feijão Preto 1kg,7.99,300
Macarrão Espaguete 500g,4.99,250
Azeite de Oliva Extra Virgem 500ml,24.99,100
Leite Integral 1L,4.49,500
Café em Pó 500g,12.99,150
Açúcar Refinado 1kg,3.99,400
Farinha de Trigo 1kg,5.99,350
Óleo de Soja 900ml,6.99,450
Molho de Tomate 340g,3.49,300
Sal Refinado 1kg,2.49,600
Biscoito Cream Cracker 200g,3.99,250
Achocolatado em Pó 400g,7.99,180
Margarina 500g,6.49,120
Queijo Mussarela Fatiado 200g,14.99,90
Pão de Forma 500g,8.99,150
Presunto Fatiado 200g,11.99,130
Iogurte Natural 170g,2.99,220
Bebida de Soja 1L,5.49,200
Cereal Matinal 300g,9.99,140
Atum em Lata 170g,8.99,110
Sardinha em Óleo 125g,4.99,160
Chocolate ao Leite 100g,5.49,140
Creme de Leite 200g,3.99,230
Ervilha em Conserva 200g,3.99,210
Milho Verde em Conserva 200g,4.49,220
Batata Palha 100g,6.99,180
Geleia de Morango 320g,9.99,90
Mel Puro 300g,14.99,80
Amendoim Torrado 200g,5.99,170
