nome,preço,quantidade
Smartphone Samsung Galaxy S23,3999.99,50
iPhone 14 Pro Max,7999.99,30
Notebook Dell Inspiron 15,3499.99,20
Smart TV LG OLED 55",4999.99,15
Fone de Ouvido Sony WH-1000XM4,1299.99,100
Mouse Logitech MX Master 3,499.99,150
Teclado Mecânico Corsair K70,699.99,120
Monitor LG Ultrawide 29",1399.99,25
Caixa de Som JBL Charge 5,899.99,80
Câmera Canon EOS Rebel T7i,3499.99,10
Drone DJI Mavic Air 2,6299.99,5
Tablet Apple iPad Air,4499.99,40
Kindle Paperwhite,499.99,60
PlayStation 5,4999.99,12
Xbox Series X,4999.99,18
Roteador TP-Link Archer AX6000,999.99,50
SSD Samsung 970 EVO 1TB,799.99,75
Placa de Vídeo NVIDIA RTX 3080,5999.99,8
Impressora HP LaserJet Pro,1499.99,30
Microfone Blue Yeti,699.99,55
Webcam Logitech C920,399.99,90
Carregador Portátil Anker 20,000mAh,299.99,200
Relógio Smartwatch Apple Watch Series 7,3999.99,25
Aspirador de Pó Robô Roomba i7+,4299.99,18
Controle DualSense PS5,399.99,60
HD Externo Seagate 2TB,499.99,100
Soundbar Samsung HW-Q60T,1299.99,40
Projetor Epson PowerLite,2999.99,10
Headset HyperX Cloud II,599.99,70
Câmera de Segurança Xiaomi Mi,299.99,150
