nome,preço,quantidade
Furadeira Bosch GSB 13 RE,299.99,40
Chave de Fenda Tramontina 5mm,19.99,200
Serra Mármore Bosch GDC 150,499.99,15
Parafusadeira Elétrica Black+Decker,199.99,60
Kit de Ferramentas Vonder com 110 Peças,249.99,50
Esmerilhadeira Angular DeWalt 4 1/2",349.99,35
Alicate Universal Tramontina,29.99,120
Nível a Laser Bosch GLL 3-80,1199.99,10
Martelo de Borracha Tramontina,49.99,100
Serra Tico-Tico Black+Decker,159.99,25
Chave Inglesa Irwin 10",79.99,90
Kit de Brocas Bosch 5 Peças,29.99,150
Multímetro Digital Minipa ET-1002,69.99,80
Serra Circular DeWalt 7 1/4",699.99,20
Marreta Tramontina 1kg,49.99,110
Furadeira de Impacto Makita HP1630,399.99,30
Chave Combinada Gedore 13mm,24.99,200
Alicate de Corte Vonder,39.99,130
Esquadro Magnético Vonder 5",49.99,70
Lixadeira Orbital Bosch GSS 140,299.99,20
Pistola de Pintura Vonder,119.99,50
Chave Phillips Tramontina 4mm,19.99,180
Trena a Laser Stanley 40m,249.99,45
Morsa de Bancada Vonder,199.99,25
Estilete Profissional Olfa,29.99,150
Rebitador Manual Vonder,79.99,90
Kit Chaves Allen Tramontina 9 Peças,39.99,100
Serrote de Poda Tramontina,49.99,60
Furadeira de Bancada Vonder 1/2",599.99,10
Lixadeira Roto-Orbital Black+Decker,299.99,25
