nome,preço,quantidade
Perfume Chanel Nº 5,999.99,30
Base Líquida Maybelline Fit Me,59.99,100
Batom MAC Ruby Woo,99.99,80
Máscara de Cílios L'Oréal,49.99,150
Paleta de Sombras Naked Urban Decay,299.99,50
Hidratante Corporal Nivea,29.99,200
Creme Anti-Idade L'Oréal Revitalift,89.99,60
Perfume Carolina Herrera 212 VIP,499.99,40
Protetor Solar La Roche-Posay Anthelios,79.99,70
Shampoo L'Oréal Elseve,19.99,300
Condicionador Pantene,24.99,250
Óleo de Argan Moroccanoil,139.99,40
Esmalte Risqué Vermelho,5.99,500
Sérum Facial Vichy Liftactiv,199.99,45
Desodorante Rexona Clinical,29.99,150
Iluminador Fenty Beauty,149.99,50
Creme para Pentear Salon Line,19.99,180
Lápis de Olho Avon,15.99,220
Perfume Dolce & Gabbana Light Blue,399.99,25
Pó Compacto Vult,39.99,90
Kit de Maquiagem Ruby Rose,99.99,120
Creme Hidratante Facial Nivea,19.99,300
Lápis Labial MAC,79.99,80
Sombra Líquida Stila,149.99,30
Perfume Lancôme La Vie Est Belle,499.99,35
Demaquilante Bifásico Nivea,29.99,100
Creme para Mãos L'Occitane,59.99,60
Sérum Capilar Elseve L'Oréal,49.99,90
Cílios Postiços Kiss NY,24.99,200
Escova Alisadora Mondial,99.99,55
