nome,preço,quantidade
O Senhor dos Anéis - A Sociedade do Anel,49.99,100
Harry Potter e a Pedra Filosofal,39.99,150
1984 - George Orwell,29.99,200
O Hobbit - J.R.R. Tolkien,34.99,180
Dom Quixote - Miguel de Cervantes,59.99,75
A Revolução dos Bichos - George Orwell,19.99,250
Orgulho e Preconceito - Jane Austen,29.99,130
A Guerra dos Tronos - George R.R. Martin,69.99,80
O Pequeno Príncipe - Antoine de Saint-Exupéry,19.99,300
Crime e Castigo - Fiódor Dostoiévski,49.99,60
O Nome do Vento - Patrick Rothfuss,49.99,70
O Diário de Anne Frank,34.99,90
O Código Da Vinci - Dan Brown,39.99,110
A Menina que Roubava Livros - Markus Zusak,29.99,95
O Conde de Monte Cristo - Alexandre Dumas,69.99,50
O Morro dos Ventos Uivantes - Emily Brontë,24.99,120
Jogos Vorazes - Suzanne Collins,34.99,180
A Culpa é das Estrelas - John Green,29.99,140
O Caçador de Pipas - Khaled Hosseini,39.99,110
O Silmarillion - J.R.R. Tolkien,49.99,55
A Arte da Guerra - Sun Tzu,19.99,250
O Alquimista - Paulo Coelho,29.99,220
Moby Dick - Herman Melville,59.99,40
A Divina Comédia - Dante Alighieri,69.99,30
As Crônicas de Nárnia - C.S. Lewis,69.99,80
Jane Eyre - Charlotte Brontë,39.99,90
A Metamorfose - Franz Kafka,19.99,200
O Apanhador no Campo de Centeio - J.D. Salinger,29.99,100
Memórias Póstumas de Brás Cubas - Machado de Assis,29.99,150
Senhora - José de Alencar,19.99,180
