nome,preço,quantidade
Bola de Futebol Nike Strike,149.99,100
Raquete de Tênis Wilson Pro Staff,799.99,40
Bicicleta Caloi Aro 29,1599.99,20
Skate Profissional Maple,299.99,70
Halteres de Ferro Fundido 10kg,99.99,150
Corda de Pular Profissional Everlast,49.99,200
Bolsa de Academia Nike Brasilia,99.99,120
Luvas de Boxe Everlast 14oz,249.99,60
Prancha de Surf Fibra,799.99,25
Tornozeleira de Peso 5kg,59.99,140
Rede de Vôlei Profissional,149.99,30
Kimonos de Judô Atama,299.99,45
Patins Inline Rollerblade,499.99,35
Capacete de Ciclismo Giro,249.99,80
Óculos de Natação Speedo,59.99,160
Coqueteleira BlenderBottle 600ml,29.99,200
Caneleira de Futebol Adidas,49.99,180
Elástico de Resistência Mormaii,39.99,120
Kit de Dardos Profissional,79.99,100
Esteira Elétrica Movement R4,2999.99,10
Cinto de Musculação Powerlifting,99.99,90
Colchonete para Yoga Reebok,69.99,150
Roda de Exercícios Abdominais,39.99,220
Chuteira Adidas Predator,299.99,50
Jaqueta Corta-Vento Nike,199.99,40
Raquete de Beach Tennis Drop Shot,499.99,25
Meia de Compressão Lupo,39.99,200
Cronômetro Digital Casio,69.99,70
Barra de Porta para Exercícios,149.99,110
Bola de Basquete Spalding NBA,199.99,75
