nome,preço,quantidade
Pneu Michelin 205/55 R16,499.99,40
Bateria Moura 60Ah,399.99,35
Kit Xenon H4 6000K,199.99,50
Câmera de Ré Multilaser,149.99,60
Alarme Automotivo Pósitron,299.99,45
Calota Esportiva Aro 15,199.99,70
Volante Esportivo Shutt,349.99,25
Tapete Automotivo Universal,99.99,200
Capa para Banco Couro Ecológico,299.99,50
Cera de Polimento 3M,49.99,150
DVD Player Automotivo Pioneer,599.99,30
Farol de Milha LED,119.99,90
Escapamento Esportivo Inox,699.99,20
Antena Automotiva Shark,59.99,180
Rack de Teto Thule,899.99,15
Cabo de Transferência de Carga,79.99,100
Macaco Hidráulico 2 Toneladas,199.99,50
Kit de Ferramentas Multilaser,89.99,150
Lâmpada Super Branca Osram H7,49.99,200
Engate de Reboque Universal,299.99,30
Som Automotivo JBL 600W,799.99,25
Filtro de Óleo Fram,29.99,300
Chave de Roda Universal,49.99,140
Par de Amortecedores Cofap,499.99,40
Kit Palhetas Limpador Bosch,79.99,100
Central Multimídia Pioneer,1499.99,10
Aditivo para Radiador Bardahl,29.99,250
Protetor de Cárter Universal,99.99,60
Calha de Chuva Automotiva,149.99,80
Película Protetora Insulfilm,199.99,120
