nome,preço,quantidade
Camiseta Nike Dry Fit,129.99,100
Calça Jeans Levi's 511,199.99,50
Jaqueta Corta-Vento Adidas,299.99,30
Tênis Puma RS-X,399.99,80
Blusa de Moletom GAP,249.99,60
Bermuda Oakley Boardshort,179.99,40
Vestido Midi Zara,349.99,20
Camisa Social Calvin Klein,229.99,70
Casaco de Lã Tommy Hilfiger,599.99,25
Tênis Vans Old Skool,299.99,90
Shorts Esportivo Adidas,99.99,150
Chinelo Havaianas Top,49.99,200
Suéter de Tricô Lacoste,449.99,35
Saia Longa Farm,299.99,40
Blusa Polo Ralph Lauren,349.99,55
Bota Timberland Couro,599.99,30
Jaqueta Jeans Levi's Trucker,499.99,25
Calça Legging Lupo Sport,79.99,120
Boné New Era 59Fifty,129.99,100
Cueca Boxer Calvin Klein,59.99,150
Meia Adidas Pack 3,39.99,250
Sandália Birkenstock Arizona,399.99,35
Casaco Puffer Columbia,899.99,20
Calça Moletom Nike,199.99,50
Camisa Polo Lacoste,349.99,45
Saia Plissada Renner,149.99,70
Blusa Cropped Hering,79.99,110
Regata Esportiva Fila,69.99,130
Blazer Alfaiataria Zara,499.99,15
Macacão Jeans Levi's,449.99,25
