nome,preço,quantidade
Lego Star Wars Millennium Falcon,1199.99,20
Boneca Barbie Fashionista,99.99,150
Hot Wheels Pista Acrobática,159.99,100
Carrinho de Controle Remoto Lamborghini,249.99,50
Quebra-cabeça 1000 peças Paisagens,69.99,80
Play-Doh Kit de Massinha,49.99,120
Action Figure Homem de Ferro,299.99,70
Ursinho de Pelúcia 40cm,79.99,200
Jogo de Tabuleiro Banco Imobiliário,149.99,60
Nerf Elite Disruptor,129.99,90
Boneca Baby Alive Comidinha,179.99,55
Lego City Caminhão de Bombeiros,299.99,30
Robô Interativo Fisher-Price,199.99,40
Triciclo Infantil Xalingo,189.99,35
Carrinho de Bebê para Boneca,89.99,90
Jogo Educativo Palavras Cruzadas,59.99,110
Patinete 3 Rodas,229.99,45
Casa de Bonecas Polly Pocket,249.99,25
Pião Beyblade Burst Turbo,99.99,160
Kit Médico Infantil Calesita,79.99,130
Lego Ninjago Dragão Dourado,599.99,20
Transformers Optimus Prime,399.99,45
Boneca Elsa Frozen 2,149.99,70
Jogo Uno,29.99,250
Blocos de Montar Mega Bloks,99.99,100
Kit de Carrinhos Hot Wheels,149.99,150
Boneco Super Mario Nintendo,89.99,80
Quebra-cabeça 3D Torre Eiffel,119.99,25
Hoverboard Infantil com Luzes LED,899.99,10
Jogo Detetive Estrela,79.99,120
